genes	Pfam
GRMZM2G122064	PF00566
GRMZM2G122072	PF00201
GRMZM2G122073	"PF14416,PF13839"
GRMZM2G122076	"PF02183,PF00046"
GRMZM2G122108	PF03105
GRMZM2G122116	"PF12854,PF13812,PF01535,PF13041"
GRMZM2G122126	PF01182
GRMZM2G122135	PF13646
GRMZM2G122139	PF05761
GRMZM2G122148	PF10294
GRMZM2G122160	PF06200
GRMZM2G122172	PF00171
GRMZM2G122185	PF02184
GRMZM2G122187	PF07651
GRMZM2G122198	PF00697
GRMZM2G122199	PF16709
GRMZM2G122223	PF13639
GRMZM2G122228	PF00481
GRMZM2G122230	PF04043
GRMZM2G122231	"PF02358,PF00982"
GRMZM2G122239	PF02338
GRMZM2G122251	PF00854
GRMZM2G122258	PF07714
GRMZM2G122261	PF00657
GRMZM2G122267	PF00169
GRMZM2G122272	PF01269
GRMZM2G122274	PF16561
GRMZM2G122276	PF07172
GRMZM2G122277	PF03552
GRMZM2G122280	"PF14226,PF03171"
GRMZM2G122284	PF13639
GRMZM2G122290	PF00687
GRMZM2G122296	"PF13489,PF08241"
GRMZM2G122302	PF02298
GRMZM2G122324	PF00550
GRMZM2G122327	PF00111
GRMZM2G122330	PF10513
GRMZM2G122335	PF06293
GRMZM2G122337	PF00111
GRMZM2G122340	PF09265
GRMZM2G122344	PF13041
GRMZM2G122362	PF03031
GRMZM2G122404	PF05721
GRMZM2G122413	PF00612
GRMZM2G122420	PF13087
GRMZM2G122423	PF16900
GRMZM2G122431	PF13632
GRMZM2G122437	PF00403
GRMZM2G122442	PF04113
GRMZM2G122443	PF07915
GRMZM2G122447	PF05678
GRMZM2G122477	PF00067
GRMZM2G122479	"PF00390,PF03949"
GRMZM2G122488	PF02798
GRMZM2G122498	PF00067
GRMZM2G122503	PF02458
GRMZM2G122532	PF07928
GRMZM2G122537	PF00046
GRMZM2G122543	PF12174
GRMZM2G122563	PF02788
GRMZM2G122569	"PF00013,PF16544"
GRMZM2G122581	PF12937
GRMZM2G122591	PF02776
GRMZM2G122595	PF04734
GRMZM2G122614	"PF06507,PF02362"
GRMZM2G122615	PF02365
GRMZM2G122618	PF03151
GRMZM2G122628	"PF14429,PF09778"
GRMZM2G122631	PF15054
GRMZM2G122654	PF00067
GRMZM2G122656	PF08661
GRMZM2G122666	PF08477
GRMZM2G122687	PF00892
GRMZM2G122706	PF04780
GRMZM2G122708	PF00182
GRMZM2G122709	PF04844
GRMZM2G122712	PF00854
GRMZM2G122715	PF00581
GRMZM2G122717	"PF08263,PF13855"
GRMZM2G122725	PF00069
GRMZM2G122740	"PF04783,PF04782"
GRMZM2G122750	"PF15612,PF15613,PF15614,PF05066,PF00046,PF02791"
GRMZM2G122754	PF10408
GRMZM2G122767	PF00118
GRMZM2G122782	PF01154
GRMZM2G122787	PF00501
GRMZM2G122793	PF02943
GRMZM2G122805	PF00025
GRMZM2G122807	PF00342
GRMZM2G122810	"PF08241,PF08498"
GRMZM2G122811	PF01248
GRMZM2G122816	PF00141
GRMZM2G122822	PF02631
GRMZM2G122828	PF06258
GRMZM2G122841	PF02840
GRMZM2G122843	PF01343
GRMZM2G122846	PF00170
GRMZM2G122848	PF13639
GRMZM2G122850	PF05694
GRMZM2G122853	PF00141
GRMZM2G122869	PF00083
GRMZM2G122871	"PF14497,PF02798,PF00647"
GRMZM2G122873	"PF08263,PF07714,PF00069"
GRMZM2G122892	PF13883
GRMZM2G122897	"PF00046,PF01852"
GRMZM2G122935	PF00566
GRMZM2G122937	"PF03766,PF03763"
GRMZM2G122954	PF03097
GRMZM2G122956	PF00076
GRMZM2G122965	"PF00307,PF00225"
GRMZM2G122983	PF03357
GRMZM2G122999	"PF07722,PF06418"
GRMZM2G123014	"PF14432,PF13812,PF01535,PF13041"
GRMZM2G123016	PF16528
GRMZM2G123018	PF01095
GRMZM2G123029	"PF14541,PF03489,PF05184"
GRMZM2G123037	PF00067
GRMZM2G123063	"PF16487,PF16488,PF16486,PF08699,PF02170,PF02171"
GRMZM2G123089	PF08423
GRMZM2G123107	PF00332
GRMZM2G123113	PF00939
GRMZM2G123119	PF00847
GRMZM2G123122	"PF00168,PF08372"
GRMZM2G123128	"PF01476,PF00646"
GRMZM2G123140	"PF00046,PF01852"
GRMZM2G123159	PF00583
GRMZM2G123178	"PF08263,PF13855,PF07714"
GRMZM2G123202	PF00249
GRMZM2G123204	PF00709
GRMZM2G123208	PF13839
GRMZM2G123212	PF13639
GRMZM2G123234	PF00076
GRMZM2G123246	PF02365
GRMZM2G123257	PF03141
GRMZM2G123262	PF00400
GRMZM2G123277	"PF02358,PF00982"
GRMZM2G123305	"PF03725,PF01138"
GRMZM2G123308	PF00249
GRMZM2G123309	PF00067
GRMZM2G123314	"PF08263,PF00560,PF00069,PF13855"
GRMZM2G123328	PF04857
GRMZM2G123355	PF05637
GRMZM2G123362	PF04857
GRMZM2G123365	PF00657
GRMZM2G123371	PF00365
GRMZM2G123373	PF04727
GRMZM2G123387	PF03106
GRMZM2G123394	"PF07231,PF07014"
GRMZM2G123407	PF02298
GRMZM2G123410	PF14299
GRMZM2G123411	PF06639
GRMZM2G123416	PF13359
GRMZM2G123432	PF00227
GRMZM2G123446	PF00067
GRMZM2G123452	PF00571
GRMZM2G123457	PF01080
GRMZM2G123459	"PF00271,PF00270"
GRMZM2G123461	PF02362
GRMZM2G123482	PF10294
GRMZM2G123486	PF00403
GRMZM2G123495	PF00238
GRMZM2G123499	PF01417
GRMZM2G123503	PF02517
GRMZM2G123511	PF00982
GRMZM2G123519	PF00179
GRMZM2G123527	PF06979
GRMZM2G123537	"PF00806,PF07990"
GRMZM2G123540	PF01697
GRMZM2G123544	PF13671
GRMZM2G123550	PF06203
GRMZM2G123558	PF05558
GRMZM2G123585	"PF14389,PF04784"
GRMZM2G123587	"PF15629,PF15628"
GRMZM2G123594	PF13947
GRMZM2G123604	"PF01453,PF00069"
GRMZM2G123607	PF00790
GRMZM2G123624	PF14604
GRMZM2G123633	"PF08244,PF00251"
GRMZM2G123644	"PF01426,PF01852,PF05641"
GRMZM2G123652	PF03435
GRMZM2G123654	PF02458
GRMZM2G123660	PF13639
GRMZM2G123667	PF02365
GRMZM2G123709	PF00400
GRMZM2G123714	PF07983
GRMZM2G123719	"PF03144,PF00679,PF14492,PF03764,PF00009"
GRMZM2G123732	PF10160
GRMZM2G123764	PF01734
GRMZM2G123776	PF13905
GRMZM2G123790	PF04367
GRMZM2G123791	PF00097
GRMZM2G123794	PF00301
GRMZM2G123796	PF14259
GRMZM2G123805	PF01734
GRMZM2G123807	PF04051
GRMZM2G123815	PF00450
GRMZM2G123838	PF00301
GRMZM2G123843	"PF12022,PF06148"
GRMZM2G123866	"PF00467,PF00620"
GRMZM2G123868	"PF03725,PF01138"
GRMZM2G123876	"PF00642,PF00076"
GRMZM2G123884	PF01758
GRMZM2G123886	PF00069
GRMZM2G123887	PF03479
GRMZM2G123896	PF05564
GRMZM2G123900	PF02701
GRMZM2G123901	PF05529
GRMZM2G123909	PF00320
GRMZM2G123920	PF03800
GRMZM2G123922	"PF02151,PF07728,PF10431,PF00004,PF02861"
GRMZM2G123932	PF02567
GRMZM2G123938	PF01201
GRMZM2G123940	PF00450
GRMZM2G123953	PF13917
GRMZM2G123959	"PF13812,PF01535,PF13041"
GRMZM2G123963	"PF00560,PF13855"
GRMZM2G123966	PF00132
GRMZM2G123969	PF01248
GRMZM2G123973	PF01554
GRMZM2G123977	"PF13962,PF12796"
GRMZM2G123981	PF08263
GRMZM2G123986	PF00515
GRMZM2G123987	PF01553
GRMZM2G124011	PF00847
GRMZM2G124026	PF11820
GRMZM2G124037	PF00847
GRMZM2G124042	PF01553
GRMZM2G124047	PF05577
GRMZM2G124051	"PF15801,PF03372"
GRMZM2G124059	"PF14698,PF00206"
GRMZM2G124061	PF13768
GRMZM2G124063	PF04499
GRMZM2G124066	PF02458
GRMZM2G124070	PF12452
GRMZM2G124078	"PF08031,PF01565"
GRMZM2G124079	PF03478
GRMZM2G124091	PF00383
GRMZM2G124094	PF13934
GRMZM2G124096	PF01480
GRMZM2G124103	PF03179
GRMZM2G124136	PF07690
GRMZM2G124143	PF01200
GRMZM2G124151	PF02485
GRMZM2G124175	PF02738
GRMZM2G124179	PF03031
GRMZM2G124203	PF14159
GRMZM2G124209	PF01150
GRMZM2G124225	PF01474
GRMZM2G124229	PF12695
GRMZM2G124239	PF04129
GRMZM2G124243	PF04576
GRMZM2G124254	PF10253
GRMZM2G124270	PF07714
GRMZM2G124276	PF04116
GRMZM2G124280	PF12695
GRMZM2G124281	PF02330
GRMZM2G124288	PF10539
GRMZM2G124290	PF05678
GRMZM2G124297	PF00632
GRMZM2G124301	PF13456
GRMZM2G124307	PF00061
GRMZM2G124313	PF01066
GRMZM2G124321	"PF02151,PF08755"
GRMZM2G124335	"PF02801,PF00109"
GRMZM2G124353	PF00202
GRMZM2G124361	PF05004
GRMZM2G124371	"PF16457,PF13713,PF01363,PF08381,PF00415"
GRMZM2G124377	PF01663
GRMZM2G124396	PF11817
GRMZM2G124411	"PF00276,PF03939"
GRMZM2G124417	PF00227
GRMZM2G124421	PF00808
GRMZM2G124423	PF13639
GRMZM2G124428	PF13947
GRMZM2G124434	PF01073
GRMZM2G124439	PF02403
GRMZM2G124441	"PF14369,PF13639"
GRMZM2G124449	PF03514
GRMZM2G124455	"PF00081,PF02777"
GRMZM2G124466	PF04755
GRMZM2G124473	PF04755
GRMZM2G124476	"PF00013,PF00642"
GRMZM2G124490	PF13943
GRMZM2G124495	"PF00249,PF14379"
GRMZM2G124502	"PF08766,PF02201"
GRMZM2G124507	PF12899
GRMZM2G124509	"PF01693,PF13456"
GRMZM2G124524	PF00847
GRMZM2G124530	"PF04783,PF04782"
GRMZM2G124532	PF02518
GRMZM2G124540	PF00249
GRMZM2G124550	PF00069
GRMZM2G124555	PF00069
GRMZM2G124557	PF00432
GRMZM2G124560	PF00400
GRMZM2G124566	"PF08880,PF08879"
GRMZM2G124576	"PF08156,PF01798"
GRMZM2G124588	PF01746
GRMZM2G124593	"PF02887,PF00224"
GRMZM2G124602	PF13041
GRMZM2G124616	"PF13365,PF01028,PF01725"
GRMZM2G124617	PF04419
GRMZM2G124638	PF03479
GRMZM2G124642	PF03953
GRMZM2G124644	PF00226
GRMZM2G124654	PF14303
GRMZM2G124658	PF03311
GRMZM2G124663	PF00808
GRMZM2G124667	PF02298
GRMZM2G124671	PF13528
GRMZM2G124684	PF14541
GRMZM2G124701	PF13639
GRMZM2G124715	PF00249
GRMZM2G124718	"PF02877,PF00644"
GRMZM2G124726	PF00035
GRMZM2G124732	PF00025
GRMZM2G124739	"PF07714,PF00069"
GRMZM2G124745	PF00035
GRMZM2G124758	PF08477
GRMZM2G124759	PF01764
GRMZM2G124785	PF03059
GRMZM2G124799	"PF08100,PF00891"
GRMZM2G124802	PF04970
GRMZM2G124805	PF00091
GRMZM2G124809	PF00076
GRMZM2G124815	PF02458
GRMZM2G124820	PF03328
GRMZM2G124863	PF07837
GRMZM2G124872	PF10250
GRMZM2G124876	"PF12169,PF13177"
GRMZM2G124883	PF00225
GRMZM2G124886	"PF00400,PF04053"
GRMZM2G124890	PF01627
GRMZM2G124911	PF00153
GRMZM2G124915	PF03145
GRMZM2G124918	PF04144
GRMZM2G124919	"PF00389,PF02826"
GRMZM2G124921	PF01734
GRMZM2G124938	PF04144
GRMZM2G124948	PF02171
GRMZM2G124963	PF00155
GRMZM2G124965	PF01852
GRMZM2G124972	PF00067
GRMZM2G124974	"PF00043,PF13417"
GRMZM2G124975	PF00400
GRMZM2G125001	"PF14531,PF03822"
GRMZM2G125004	PF00646
GRMZM2G125020	PF04570
GRMZM2G125023	PF00230
GRMZM2G125026	PF03999
GRMZM2G125032	PF00332
GRMZM2G125034	"PF00514,PF04564"
GRMZM2G125044	PF06972
GRMZM2G125052	PF00106
GRMZM2G125072	"PF00226,PF13370"
GRMZM2G125081	"PF08263,PF13855,PF00069"
GRMZM2G125083	PF01553
GRMZM2G125095	PF02362
GRMZM2G125130	PF01559
GRMZM2G125138	PF10248
GRMZM2G125148	"PF08156,PF01798"
GRMZM2G125149	PF04051
GRMZM2G125151	"PF16004,PF01535,PF13041,PF00004"
GRMZM2G125162	PF00651
GRMZM2G125175	PF03061
GRMZM2G125193	"PF05191,PF00406"
GRMZM2G125196	"PF00107,PF16884"
GRMZM2G125206	PF00646
GRMZM2G125233	PF01263
GRMZM2G125239	PF04504
GRMZM2G125241	PF07983
GRMZM2G125243	"PF00170,PF14144"
GRMZM2G125259	PF07524
GRMZM2G125262	"PF01554,PF14634"
GRMZM2G125263	"PF08263,PF07714"
GRMZM2G125266	PF01488
GRMZM2G125268	PF00171
GRMZM2G125271	"PF01479,PF00467,PF08071,PF16121,PF00900"
GRMZM2G125294	"PF15613,PF15612,PF15614,PF02791,PF05066,PF00046"
GRMZM2G125300	PF01249
GRMZM2G125304	PF00684
GRMZM2G125308	PF07714
GRMZM2G125310	PF00903
GRMZM2G125314	PF00656
GRMZM2G125320	PF00855
GRMZM2G125342	PF12090
GRMZM2G125352	PF10033
GRMZM2G125356	"PF04043,PF01095"
GRMZM2G125378	PF09785
GRMZM2G125387	PF02705
GRMZM2G125414	PF02453
GRMZM2G125424	"PF00005,PF00664"
GRMZM2G125432	"PF11722,PF05033,PF00856"
GRMZM2G125436	PF00759
GRMZM2G125448	PF02458
GRMZM2G125460	PF00847
GRMZM2G125482	PF00067
GRMZM2G125494	PF00924
GRMZM2G125495	"PF00497,PF13458,PF00060"
GRMZM2G125501	PF03514
GRMZM2G125507	PF00071
GRMZM2G125512	PF08698
GRMZM2G125513	"PF04783,PF04782"
GRMZM2G125516	"PF14365,PF03080"
GRMZM2G125522	PF00249
GRMZM2G125527	PF00935
GRMZM2G125529	PF00076
GRMZM2G125531	PF16544
GRMZM2G125544	PF14543
GRMZM2G125552	"PF07687,PF01546"
GRMZM2G125556	PF08718
GRMZM2G125557	PF05564
GRMZM2G125566	PF09790
GRMZM2G125575	"PF00283,PF00284"
GRMZM2G125585	PF05664
GRMZM2G125587	PF02171
GRMZM2G125596	PF02362
GRMZM2G125617	"PF00226,PF11875"
GRMZM2G125635	PF01536
GRMZM2G125640	PF16639
GRMZM2G125642	"PF01363,PF13713,PF16627,PF08381,PF00415"
GRMZM2G125648	PF00505
GRMZM2G125653	PF03106
GRMZM2G125656	PF00400
GRMZM2G125669	PF01786
GRMZM2G125679	PF13405
GRMZM2G125688	PF14968
GRMZM2G125704	"PF00249,PF14379"
GRMZM2G125728	PF01417
GRMZM2G125738	PF13962
GRMZM2G125762	PF07714
GRMZM2G125768	PF04515
GRMZM2G125775	PF01428
GRMZM2G125777	PF02365
GRMZM2G125784	PF09809
GRMZM2G125800	PF13409
GRMZM2G125821	PF00076
GRMZM2G125823	PF03662
GRMZM2G125832	PF01490
GRMZM2G125838	PF13499
GRMZM2G125850	PF03151
GRMZM2G125867	PF01485
GRMZM2G125889	PF00069
GRMZM2G125893	PF00334
GRMZM2G125918	PF00314
GRMZM2G125923	PF00800
GRMZM2G125934	"PF00170,PF14144"
GRMZM2G125935	"PF13959,PF00271,PF00270"
GRMZM2G125943	"PF00512,PF02518,PF00072,PF03924"
GRMZM2G125947	PF00270
GRMZM2G125954	PF00646
GRMZM2G125969	PF00447
GRMZM2G125976	"PF05920,PF07526"
GRMZM2G125977	PF13225
GRMZM2G125985	PF04367
GRMZM2G125987	PF12776
GRMZM2G125991	PF00759
GRMZM2G126002	PF00248
GRMZM2G126007	PF03140
GRMZM2G126010	PF00022
GRMZM2G126018	PF03110
GRMZM2G126019	"PF02212,PF00350,PF01031"
GRMZM2G126026	PF06203
GRMZM2G126038	"PF09326,PF10588,PF13510,PF00384"
GRMZM2G126046	PF13959
GRMZM2G126048	PF08743
GRMZM2G126049	PF07714
GRMZM2G126055	PF00067
GRMZM2G126062	PF00248
GRMZM2G126077	PF00544
GRMZM2G126079	PF01412
GRMZM2G126083	PF12695
GRMZM2G126096	PF03004
GRMZM2G126106	PF03763
GRMZM2G126108	PF02171
GRMZM2G126120	PF00013
GRMZM2G126126	PF07714
GRMZM2G126141	"PF06544,PF08572"
GRMZM2G126148	PF13837
GRMZM2G126161	PF01239
GRMZM2G126170	"PF00046,PF16719"
GRMZM2G126177	PF04998
GRMZM2G126182	PF01423
GRMZM2G126190	PF00022
GRMZM2G126194	PF02362
GRMZM2G126196	"PF03330,PF01357"
GRMZM2G126199	PF00106
GRMZM2G126204	PF07891
GRMZM2G126216	"PF04578,PF13968"
GRMZM2G126218	PF12766
GRMZM2G126235	PF00520
GRMZM2G126239	"PF02183,PF00046"
GRMZM2G126253	PF00888
GRMZM2G126260	PF03547
GRMZM2G126261	PF00141
GRMZM2G126285	PF13602
GRMZM2G126290	PF10250
GRMZM2G126292	"PF08542,PF00004"
GRMZM2G126309	PF12776
GRMZM2G126338	PF04146
GRMZM2G126361	"PF07728,PF01434"
GRMZM2G126367	PF12697
GRMZM2G126371	PF12697
GRMZM2G126386	PF01789
GRMZM2G126397	PF00234
GRMZM2G126408	PF02630
GRMZM2G126413	PF05678
GRMZM2G126430	PF08328
GRMZM2G126435	"PF13414,PF00149"
GRMZM2G126443	PF00400
GRMZM2G126446	PF04190
GRMZM2G126447	"PF01753,PF00443"
GRMZM2G126453	PF05496
GRMZM2G126468	"PF16923,PF03200"
GRMZM2G126484	"PF10539,PF01344"
GRMZM2G126496	PF00106
GRMZM2G126505	PF00067
GRMZM2G126507	"PF09425,PF06200"
GRMZM2G126517	PF04227
GRMZM2G126541	PF00450
GRMZM2G126545	PF01429
GRMZM2G126552	PF00400
GRMZM2G126555	"PF07690,PF00083"
GRMZM2G126566	PF00249
GRMZM2G126572	PF05340
GRMZM2G126580	PF00861
GRMZM2G126582	PF00230
GRMZM2G126586	PF04535
GRMZM2G126594	PF00237
GRMZM2G126601	PF01699
GRMZM2G126603	PF00468
GRMZM2G126635	PF04842
GRMZM2G126646	"PF00046,PF01852"
GRMZM2G126656	"PF00564,PF00571"
GRMZM2G126664	"PF13041,PF01535"
GRMZM2G126682	"PF08498,PF08241"
GRMZM2G126691	PF01805
GRMZM2G126696	PF14144
GRMZM2G126706	PF01248
GRMZM2G126732	"PF14226,PF03171"
GRMZM2G126742	"PF13906,PF00324"
GRMZM2G126749	PF07887
GRMZM2G126763	"PF13417,PF00043"
GRMZM2G126765	PF13350
GRMZM2G126772	PF03492
GRMZM2G126774	"PF00271,PF00176"
GRMZM2G126781	PF00043
GRMZM2G126795	"PF00097,PF00400"
GRMZM2G126802	PF00612
GRMZM2G126808	"PF02183,PF00046"
GRMZM2G126817	PF02365
GRMZM2G126821	PF00318
GRMZM2G126827	PF03110
GRMZM2G126832	PF00481
GRMZM2G126834	"PF00249,PF00072"
GRMZM2G126839	"PF14259,PF00076"
GRMZM2G126852	PF00071
GRMZM2G126856	PF13302
GRMZM2G126858	"PF07714,PF11721"
GRMZM2G126860	"PF05496,PF04212,PF09336"
GRMZM2G126865	PF02990
GRMZM2G126871	PF02777
GRMZM2G126873	PF04840
GRMZM2G126887	PF02374
GRMZM2G126900	PF05153
GRMZM2G126913	"PF04561,PF03999,PF00883"
GRMZM2G126922	PF12352
GRMZM2G126928	PF01775
GRMZM2G126936	PF02365
GRMZM2G126946	"PF00168,PF01412"
GRMZM2G126957	"PF02045,PF01406"
GRMZM2G126972	PF00011
GRMZM2G126988	"PF00534,PF08323"
GRMZM2G127015	PF13041
GRMZM2G127029	"PF01357,PF03330"
GRMZM2G127031	PF07714
GRMZM2G127034	PF02178
GRMZM2G127050	"PF13414,PF07714"
GRMZM2G127064	PF03106
GRMZM2G127067	PF04116
GRMZM2G127072	PF03330
GRMZM2G127080	PF06813
GRMZM2G127087	"PF01397,PF03936"
GRMZM2G127101	"PF00627,PF00240"
GRMZM2G127106	"PF03330,PF01357"
GRMZM2G127115	PF00626
GRMZM2G127117	PF00332
GRMZM2G127121	PF01161
GRMZM2G127123	"PF02449,PF02140"
GRMZM2G127134	PF00854
GRMZM2G127138	PF00324
GRMZM2G127139	"PF00498,PF01494"
GRMZM2G127141	PF00069
GRMZM2G127143	PF04398
GRMZM2G127147	PF05691
GRMZM2G127150	PF13520
GRMZM2G127154	PF09187
GRMZM2G127160	PF04864
GRMZM2G127162	PF03087
GRMZM2G127168	"PF14392,PF00098"
GRMZM2G127173	PF00153
GRMZM2G127184	PF03254
GRMZM2G127224	PF14303
GRMZM2G127230	"PF01656,PF02881,PF02978"
GRMZM2G127232	"PF14226,PF03171"
GRMZM2G127236	PF03330
GRMZM2G127251	PF02458
GRMZM2G127266	PF13639
GRMZM2G127294	PF01490
GRMZM2G127297	"PF03127,PF00790"
GRMZM2G127299	"PF17035,PF00439"
GRMZM2G127308	PF04864
GRMZM2G127309	PF07983
GRMZM2G127312	PF04939
GRMZM2G127328	PF01490
GRMZM2G127336	"PF01397,PF03936"
GRMZM2G127338	PF01490
GRMZM2G127340	"PF14392,PF00098"
GRMZM2G127342	PF03222
GRMZM2G127350	PF00202
GRMZM2G127356	PF04434
GRMZM2G127360	PF13041
GRMZM2G127361	"PF08240,PF13602"
GRMZM2G127374	"PF00782,PF16561"
GRMZM2G127379	PF02365
GRMZM2G127382	PF00318
GRMZM2G127393	"PF05698,PF05697"
GRMZM2G127396	PF16212
GRMZM2G127412	PF05623
GRMZM2G127416	PF03016
GRMZM2G127418	"PF08100,PF00891"
GRMZM2G127421	PF12695
GRMZM2G127426	PF06203
GRMZM2G127429	PF00330
GRMZM2G127431	PF04844
GRMZM2G127444	PF07797
GRMZM2G127490	PF00249
GRMZM2G127510	PF00076
GRMZM2G127521	PF00237
GRMZM2G127524	PF04564
GRMZM2G127537	"PF04618,PF02183,PF00046"
GRMZM2G127546	"PF02780,PF02779"
GRMZM2G127548	PF03909
GRMZM2G127559	PF00076
GRMZM2G127581	"PF01302,PF14560"
GRMZM2G127591	PF08449
GRMZM2G127598	PF00300
GRMZM2G127609	PF00166
GRMZM2G127632	"PF07714,PF14381"
GRMZM2G127648	PF00025
GRMZM2G127650	"PF00954,PF08276,PF01453,PF00069"
GRMZM2G127652	PF00226
GRMZM2G127656	PF10497
GRMZM2G127665	PF05383
GRMZM2G127668	"PF03171,PF14226"
GRMZM2G127680	PF04844
GRMZM2G127687	"PF08263,PF13855,PF07714"
GRMZM2G127690	PF04564
GRMZM2G127714	PF13088
GRMZM2G127717	PF00365
GRMZM2G127729	PF00076
GRMZM2G127739	PF00503
GRMZM2G127756	"PF04437,PF04100"
GRMZM2G127780	PF04146
GRMZM2G127789	"PF00043,PF13417"
GRMZM2G127798	"PF03446,PF00393"
GRMZM2G127805	PF09405
GRMZM2G127810	PF05057
GRMZM2G127812	PF01965
GRMZM2G127821	PF04520
GRMZM2G127826	PF02537
GRMZM2G127844	PF01981
GRMZM2G127846	PF00929
GRMZM2G127850	PF00400
GRMZM2G127853	PF07983
GRMZM2G127857	PF00249
GRMZM2G127893	PF04420
GRMZM2G127911	PF02441
GRMZM2G127924	PF03000
GRMZM2G127941	PF00246
GRMZM2G127945	PF00141
GRMZM2G127948	PF13578
GRMZM2G127949	PF01490
GRMZM2G127958	PF00355
GRMZM2G127963	PF13041
GRMZM2G127972	PF00175
GRMZM2G127984	PF07714
GRMZM2G127990	"PF08263,PF00069,PF13855"
GRMZM2G128016	PF00153
GRMZM2G128025	PF00026
GRMZM2G128029	PF04535
GRMZM2G128056	PF00450
GRMZM2G128072	PF11210
GRMZM2G128074	PF01293
GRMZM2G128078	PF09335
GRMZM2G128080	PF01997
GRMZM2G128092	"PF08625,PF00400"
GRMZM2G128109	"PF05050,PF08241"
GRMZM2G128114	PF00171
GRMZM2G128121	PF02780
GRMZM2G128131	PF13414
GRMZM2G128146	PF13561
GRMZM2G128171	PF13098
GRMZM2G128176	"PF00628,PF02791"
GRMZM2G128179	PF03141
GRMZM2G128189	PF01253
GRMZM2G128206	PF00412
GRMZM2G128214	"PF00781,PF00609"
GRMZM2G128215	PF00646
GRMZM2G128219	PF00135
GRMZM2G128233	PF04819
GRMZM2G128248	"PF00226,PF01556"
GRMZM2G128268	PF00026
GRMZM2G128295	PF13236
GRMZM2G128308	PF09735
GRMZM2G128315	"PF08263,PF00560,PF07714,PF13855"
GRMZM2G128319	"PF07714,PF00069"
GRMZM2G128322	PF02861
GRMZM2G128333	"PF00026,PF14541"
GRMZM2G128354	PF00226
GRMZM2G128358	"PF02151,PF13474"
GRMZM2G128364	PF01564
GRMZM2G128376	PF00203
GRMZM2G128399	PF00149
GRMZM2G128421	PF02309
GRMZM2G128426	PF05911
GRMZM2G128432	PF00436
GRMZM2G128434	PF13245
GRMZM2G128444	PF02338
GRMZM2G128445	PF01151
GRMZM2G128454	PF02416
GRMZM2G128466	PF02525
GRMZM2G128477	PF00400
GRMZM2G128485	PF00651
GRMZM2G128491	PF13266
GRMZM2G128504	PF00201
GRMZM2G128515	PF06813
GRMZM2G128531	PF02298
GRMZM2G128534	PF00201
GRMZM2G128549	"PF04043,PF01095"
GRMZM2G128564	PF02458
GRMZM2G128577	PF00106
GRMZM2G128579	"PF11861,PF01728,PF07780"
GRMZM2G128605	PF05496
GRMZM2G128608	"PF01363,PF04366"
GRMZM2G128613	"PF02985,PF11916"
GRMZM2G128617	PF01027
GRMZM2G128641	"PF14703,PF13967,PF02714"
GRMZM2G128644	PF05678
GRMZM2G128648	PF08241
GRMZM2G128651	PF00300
GRMZM2G128658	"PF00085,PF13414"
GRMZM2G128663	"PF04438,PF04795"
GRMZM2G128665	"PF01535,PF13041"
GRMZM2G128682	"PF04043,PF01095"
GRMZM2G128688	"PF01926,PF00679"
GRMZM2G128724	PF00112
GRMZM2G128731	PF03478
GRMZM2G128740	PF10075
GRMZM2G128744	PF00291
GRMZM2G128748	PF05496
GRMZM2G128771	PF00025
GRMZM2G128778	PF04937
GRMZM2G128781	PF00069
GRMZM2G128800	PF13639
GRMZM2G128807	PF00010
GRMZM2G128809	PF00076
GRMZM2G128815	PF16906
GRMZM2G128876	"PF06955,PF00722"
GRMZM2G128877	"PF02874,PF00306,PF16886,PF00006"
GRMZM2G128880	PF00857
GRMZM2G128895	PF00996
GRMZM2G128914	PF01532
GRMZM2G128918	PF00169
GRMZM2G128922	PF00026
GRMZM2G128929	"PF02866,PF00056"
GRMZM2G128935	"PF08240,PF13602"
GRMZM2G128938	"PF02260,PF00454,PF02259"
GRMZM2G128953	"PF01486,PF00319"
GRMZM2G128963	PF00479
GRMZM2G128969	"PF00571,PF00654"
GRMZM2G128971	"PF00487,PF11960"
GRMZM2G128992	PF14541
GRMZM2G128995	PF03223
GRMZM2G129007	"PF00271,PF00270"
GRMZM2G129015	PF01283
GRMZM2G129018	"PF14531,PF03822"
GRMZM2G129019	PF12734
GRMZM2G129031	PF07714
GRMZM2G129034	"PF00319,PF01486"
GRMZM2G129058	"PF08276,PF01453,PF00954,PF00069"
GRMZM2G129064	"PF07731,PF07732,PF00394"
GRMZM2G129065	"PF14416,PF13839"
GRMZM2G129071	PF13416
GRMZM2G129092	PF04043
GRMZM2G129108	PF13716
GRMZM2G129112	PF04646
GRMZM2G129114	PF03407
GRMZM2G129135	PF00335
GRMZM2G129140	PF05678
GRMZM2G129142	PF01764
GRMZM2G129146	PF00026
GRMZM2G129147	"PF08880,PF08879"
GRMZM2G129150	PF13920
GRMZM2G129154	PF03514
GRMZM2G129155	"PF01926,PF02212,PF01031"
GRMZM2G129157	PF03080
GRMZM2G129169	"PF12537,PF12430"
GRMZM2G129189	"PF00187,PF00182"
GRMZM2G129196	"PF03004,PF03017"
GRMZM2G129208	"PF06155,PF01656"
GRMZM2G129209	"PF11960,PF00487"
GRMZM2G129218	"PF01556,PF00226"
GRMZM2G129234	PF04893
